URL,Name,Sprint_Speed,Finishing,Short_Passing,Dribbling,Standing_Tackle,Strength,Overall,Potential,Age,Target_Value_EUR
https://sofifa.com/player/277827/enrique-bartual-gonzalez/240050/,Enrique Bartual González,29.0,7.0,33.0,8.0,9.0,39.0,61.0,71.0,21,25768452
https://sofifa.com/player/253120/ben-lhassine-kone/260031/,Ben Lhassine Kone,74.0,59.0,70.0,72.0,59.0,58.0,67.0,69.0,25,36812074
https://sofifa.com/player/277964/andrii-kravchuk/240050/,Andrii Kravchuk,66.0,42.0,55.0,51.0,50.0,66.0,53.0,57.0,24,18406037
https://sofifa.com/player/271955/marc-bombardo-poyato/260031/,Marc Bombardó Poyato,66.0,23.0,65.0,44.0,66.0,72.0,65.0,78.0,19,22087244
https://sofifa.com/player/276654/leon-cuk/250044/,Leon Cuk,30.0,6.0,19.0,14.0,14.0,46.0,57.0,66.0,21,18406037
https://sofifa.com/player/277193/pedro-henrique-azevedo-pereira/260031/,Pedro Henrique Azevedo Pereira,81.0,26.0,71.0,74.0,66.0,58.0,72.0,80.0,22,55218111
https://sofifa.com/player/278338/sana-fernandes/260031/,Saná Fernandes,80.0,59.0,61.0,67.0,38.0,36.0,62.0,75.0,19,25768452
https://sofifa.com/player/274934/david-watson/260031/,David Watson,64.0,63.0,69.0,64.0,67.0,58.0,67.0,81.0,20,22087244
https://sofifa.com/player/276405/erivaldo-almeida-junior/240024/,Erivaldo Almeida Junior,59.0,25.0,59.0,47.0,72.0,70.0,67.0,71.0,23,110436223
https://sofifa.com/player/278839/pau-ferrer-besalduch/240050/,Pau Ferrer Besalduch,76.0,67.0,60.0,60.0,15.0,63.0,64.0,78.0,19,58899318
https://sofifa.com/player/272737/aidan-simmons/260031/,Aidan Simmons,71.0,44.0,55.0,67.0,60.0,31.0,61.0,71.0,22,36812074
https://sofifa.com/player/235794/eberechi-eze/260031/,Eberechi Eze,75.0,80.0,84.0,87.0,63.0,68.0,84.0,85.0,27,44174489
https://sofifa.com/player/268438/alejandro-garnacho/260031/,Alejandro Garnacho,84.0,77.0,74.0,78.0,37.0,42.0,78.0,84.0,21,29449659
https://sofifa.com/player/276428/gavin-didzilatis/240050/,Gavin Didzilatis,32.0,6.0,16.0,9.0,13.0,61.0,57.0,65.0,21,22087244
https://sofifa.com/player/222077/manuel-locatelli/260031/,Manuel Locatelli,65.0,60.0,85.0,76.0,85.0,73.0,84.0,85.0,27,18406037
https://sofifa.com/player/273097/kevin-damian-gonzalez/240020/,Kevin Damián González,69.0,55.0,51.0,65.0,32.0,34.0,58.0,58.0,27,17669795
https://sofifa.com/player/273935/joao-victor-tornich/260031/,João Victor Tornich,63.0,29.0,58.0,28.0,76.0,81.0,70.0,77.0,22,80986563
https://sofifa.com/player/274731/yannic-stein/260001/,Yannic Stein,30.0,6.0,18.0,8.0,14.0,50.0,58.0,72.0,20,29449659
https://sofifa.com/player/278628/ricardo-visus-contreras/260031/,Ricardo Visus Contreras,67.0,23.0,65.0,48.0,71.0,70.0,68.0,73.0,24,18406037
https://sofifa.com/player/220697/james-maddison/260031/,James Maddison,65.0,80.0,86.0,86.0,68.0,56.0,83.0,83.0,28,18406037
https://sofifa.com/player/242516/cody-gakpo/260031/,Cody Gakpo,82.0,81.0,81.0,86.0,48.0,75.0,83.0,84.0,26,47855696
https://sofifa.com/player/278601/aitor-gismera-monge/260004/,Aitor Gismera Monge,52.0,45.0,68.0,56.0,62.0,58.0,63.0,69.0,21,22087244
https://sofifa.com/player/231281/trent-alexander-arnold/260031/,Trent Alexander-Arnold,79.0,64.0,87.0,79.0,82.0,68.0,85.0,86.0,26,47855696
https://sofifa.com/player/271258/dany-jean/250019/,Dany Jean,78.0,62.0,58.0,68.0,19.0,50.0,63.0,73.0,21,47855696
https://sofifa.com/player/279112/damian-rodriguez-sousa/260031/,Damián Rodríguez Sousa,68.0,58.0,75.0,70.0,72.0,68.0,72.0,76.0,22,22087244
https://sofifa.com/player/257534/cole-palmer/260031/,Cole Palmer,75.0,82.0,87.0,87.0,50.0,60.0,86.0,89.0,23,80986563
https://sofifa.com/player/271730/johan-martinez/230054/,Johan Martinez,75.0,47.0,60.0,65.0,31.0,32.0,61.0,74.0,20,25768452
https://sofifa.com/player/277369/gabriel-goncalves-de-souza/240050/,Gabriel Gonçalves de Souza,35.0,8.0,28.0,5.0,13.0,60.0,60.0,68.0,18,18406037
https://sofifa.com/player/277583/santiago-miguelez-sanchez/250044/,Santiago Miguélez Sánchez,69.0,64.0,59.0,66.0,16.0,62.0,62.0,71.0,22,25768452
https://sofifa.com/player/268534/andy-diouf/260031/,Andy Diouf,78.0,64.0,76.0,81.0,70.0,77.0,75.0,81.0,22,20614761
https://sofifa.com/player/277790/luis-fernando-paz/260031/,Luis Fernando Paz,69.0,40.0,66.0,55.0,59.0,48.0,62.0,72.0,21,47855696
https://sofifa.com/player/272854/joao-victor-donna-bravim/230054/,João Victor Donna Bravim,22.0,7.0,27.0,6.0,22.0,65.0,61.0,65.0,24,55218111
https://sofifa.com/player/276733/aleksander-nadolski/240050/,Aleksander Nadolski,64.0,57.0,62.0,54.0,37.0,58.0,56.0,70.0,18,18406037
https://sofifa.com/player/277037/ibrahim-romeo-olola/240024/,Ibrahim Romeo Olola,63.0,57.0,45.0,54.0,19.0,73.0,55.0,71.0,18,29449659
https://sofifa.com/player/272827/hernani-infande-t-da-silva/250044/,Hernâni Infande T. da Silva,70.0,51.0,61.0,65.0,31.0,42.0,63.0,69.0,23,20614761
https://sofifa.com/player/251854/pedro-gonzalez-lopez/260031/,Pedro González López,76.0,77.0,92.0,90.0,85.0,73.0,90.0,93.0,22,73624148
https://sofifa.com/player/274341/david-ramirez-picsiotti/240020/,David Ramírez Picsiotti,60.0,19.0,50.0,21.0,69.0,74.0,64.0,78.0,21,22087244
https://sofifa.com/player/275029/ibrahim-maza/260031/,Ibrahim Maza,76.0,67.0,80.0,83.0,68.0,62.0,78.0,86.0,19,29449659
https://sofifa.com/player/70115/erick-barbosa-dos-santos/260031/,Erick Barbosa dos Santos,64.0,55.0,70.0,65.0,61.0,60.0,61.0,73.0,21,33130866
https://sofifa.com/player/259868/pape-matar-sarr/260031/,Pape Matar Sarr,66.0,65.0,82.0,81.0,80.0,71.0,80.0,85.0,22,23559727
https://sofifa.com/player/279690/juan-david-rueda/240050/,Juan David Rueda,75.0,63.0,55.0,62.0,21.0,60.0,62.0,68.0,22,22087244
https://sofifa.com/player/276888/ziv-morgan/240030/,Ziv Morgan,66.0,29.0,62.0,53.0,65.0,72.0,65.0,71.0,23,58899318
https://sofifa.com/player/277930/mohamed-jaouab/260031/,Mohamed Jaouab,67.0,21.0,59.0,50.0,69.0,79.0,65.0,76.0,23,19878520
https://sofifa.com/player/266032/jamie-gittens/260031/,Jamie Gittens,90.0,75.0,71.0,87.0,22.0,54.0,78.0,84.0,20,25768452
https://sofifa.com/player/278408/unai-egiluz-arroyo/260031/,Unai Egiluz Arroyo,60.0,39.0,63.0,31.0,73.0,77.0,70.0,77.0,23,36812074
https://sofifa.com/player/271576/jose-carlos-natario-ferreira/260031/,José Carlos Natário Ferreira,72.0,43.0,65.0,67.0,64.0,55.0,67.0,74.0,23,40493281
https://sofifa.com/player/279768/chico-faria-camara-lamba/260031/,Chico Faria Camará Lamba,75.0,54.0,67.0,65.0,74.0,82.0,71.0,81.0,22,25768452
https://sofifa.com/player/279343/carlos-gaetanos/260023/,Carlos Gaetaños,57.0,39.0,63.0,52.0,69.0,77.0,68.0,68.0,29,19142278
https://sofifa.com/player/262102/ruben-kluivert/260031/,Ruben Kluivert,92.0,25.0,66.0,61.0,74.0,82.0,72.0,79.0,24,22087244
https://sofifa.com/player/random?1775801067,Anto Grgić,60.0,66.0,78.0,62.0,61.0,76.0,71.0,71.0,28,29449659
https://sofifa.com/player/276093/emmanuel-addai/260031/,Emmanuel Addai,79.0,62.0,70.0,71.0,24.0,58.0,69.0,75.0,23,20614761
https://sofifa.com/player/272709/gustav-lindgren/260031/,Gustav Lindgren,69.0,63.0,56.0,60.0,30.0,63.0,61.0,66.0,23,18406037
https://sofifa.com/player/235152/ferdi-kadioglu/260031/,Ferdi Kadıoğlu,84.0,65.0,78.0,79.0,77.0,58.0,79.0,81.0,25,22087244
https://sofifa.com/player/272702/rio-shipston/260031/,Rio Shipston,69.0,46.0,62.0,50.0,59.0,36.0,56.0,66.0,20,33130866
https://sofifa.com/player/271281/emir-kaan-gultekin/240050/,Emir Kaan Gültekin,76.0,60.0,62.0,68.0,33.0,59.0,62.0,68.0,22,22087244
https://sofifa.com/player/277197/denil-castillo/260031/,Denil Castillo,81.0,62.0,72.0,66.0,68.0,77.0,69.0,77.0,21,36812074
https://sofifa.com/player/276477/alessandro-marcandalli/260031/,Alessandro Marcandalli,70.0,33.0,62.0,36.0,69.0,79.0,70.0,75.0,22,18406037
https://sofifa.com/player/279047/can-mehmet-pohl/240050/,Can Mehmet Pohl,61.0,32.0,45.0,52.0,60.0,62.0,55.0,61.0,21,33130866
https://sofifa.com/player/277598/djibril-soumare/260031/,Djibril Soumaré,61.0,58.0,67.0,66.0,72.0,72.0,69.0,76.0,22,18406037
https://sofifa.com/player/271980/william-clem/260031/,William Clem,55.0,49.0,72.0,61.0,68.0,72.0,69.0,76.0,21,36812074
https://sofifa.com/player/76042/victor-munoz-villanueva/260031/,Víctor Muñoz Villanueva,95.0,73.0,73.0,81.0,52.0,52.0,78.0,86.0,21,22087244
https://sofifa.com/player/262880/raphael-onyedika/260031/,Raphael Onyedika,73.0,60.0,79.0,70.0,76.0,83.0,78.0,85.0,24,16933554
https://sofifa.com/player/276741/alexandru-iordache/240024/,Alexandru Iordache,45.0,21.0,38.0,25.0,55.0,65.0,52.0,61.0,20,29449659
