TM_Name,TM_Position,TM_Age,Market_Value
Marcus Thuram,Centre-Forward,28,₹400 Cr
Christian Pulisic,Right Winger,27,₹400 Cr
Kai Havertz,Centre-Forward,26,₹400 Cr
Marc Cucurella,Left-Back,27,₹400 Cr
Nicolò Barella,Central Midfield,29,₹400 Cr
Federico Dimarco,Left-Back,28,₹400 Cr
Franco Mastantuono,Right Winger,18,₹360 Cr
Samu Aghehowa,Centre-Forward,21,₹360 Cr
Ousmane Diomande,Centre-Back,22,₹360 Cr
Pio Esposito,Centre-Forward,20,₹360 Cr
Can Uzun,Attacking Midfield,20,₹360 Cr
Andrey Santos,Central Midfield,21,₹360 Cr
Jarrad Branthwaite,Centre-Back,23,₹360 Cr
Ilya Zabarnyi,Centre-Back,23,₹360 Cr
Gabriel Martinelli,Left Winger,24,₹360 Cr
Jarell Quansah,Centre-Back,23,₹360 Cr
Castello Lukeba,Centre-Back,23,₹360 Cr
Matheus Nunes,Right-Back,27,₹360 Cr
Álex Baena,Left Winger,24,₹360 Cr
Malick Thiaw,Centre-Back,24,₹360 Cr
Amadou Onana,Defensive Midfield,24,₹360 Cr
Nico González,Defensive Midfield,24,₹360 Cr
Morten Hjulmand,Defensive Midfield,26,₹360 Cr
Angelo Stiller,Defensive Midfield,25,₹360 Cr
Jørgen Strand Larsen,Centre-Forward,26,₹360 Cr
Alphonso Davies,Left-Back,25,₹360 Cr
Frenkie de Jong,Central Midfield,28,₹360 Cr
Scott McTominay,Central Midfield,29,₹360 Cr
Gianluigi Donnarumma,Goalkeeper,27,₹360 Cr
Geovany Quenda,Right Winger,18,₹336 Cr
Christian Kofane,Centre-Forward,19,₹320 Cr
Rayan,Right Winger,19,₹320 Cr
Yankuba Minteh,Right Winger,21,₹320 Cr
Wesley,Right-Back,22,₹320 Cr
Junior Kroupi,Centre-Forward,19,₹320 Cr
Ibrahim Maza,Attacking Midfield,20,₹320 Cr
Senny Mayulu,Central Midfield,19,₹320 Cr
Ethan Nwaneri,Attacking Midfield,19,₹320 Cr
Lucas Bergvall,Central Midfield,20,₹320 Cr
Alex Scott,Central Midfield,22,₹320 Cr
Tom Bischof,Central Midfield,20,₹320 Cr
Alejandro Garnacho,Left Winger,21,₹320 Cr
Nicolas Jackson,Centre-Forward,24,₹320 Cr
Savinho,Left Winger,22,₹320 Cr
Giuliano Simeone,Right Winger,23,₹320 Cr
Alberto Moleiro,Left Winger,22,₹320 Cr
Milos Kerkez,Left-Back,22,₹320 Cr
Éderson,Central Midfield,26,₹320 Cr
Antony,Right Winger,26,₹320 Cr
Anthony Elanga,Right Winger,23,₹320 Cr
Maximilian Beier,Centre-Forward,23,₹320 Cr
Rayan Aït-Nouri,Left-Back,24,₹320 Cr
Bart Verbruggen,Goalkeeper,23,₹320 Cr
Joan García,Goalkeeper,24,₹320 Cr
Pedro Porro,Right-Back,26,₹320 Cr
